1000159;44400084;去副本“索拉城斗兽场”击败“索拉城的哈瓦”
1000160;44400085;去副本“月华苑”击败“月华苑主”
1000161;44400086;去副本“龙皇殿”击败“塔姆”
1000162;44400087;去副本“影子之书”击败“暴怒的暗影龙”
1000168;44400203;收集2次梦灵碎片
1000169;44400198;使用1次“问好”表情
1000170;44400089;去副本“魔石实验室”击败“艾里安”
1000171;44400090;去副本“隐藏的洞穴”击败“内潘都司”
1000172;44400091;去副本“破坏之城”击败“盖米诺斯”
1000173;44400092;去副本“冰激凌庭院”击败“远古卡洛里”
1000175;44400113;去副本“神秘殿堂”击败“米内勒巴”
1000176;44400114;去副本“恶魔峡谷”击败“盖尔鲁斯”
1000177;44400115;去副本“神圣教堂”击败“布拉斯”
1000178;44400116;去副本“春植岛纪念馆”击败“植”
1000183;44400203;收集2次梦灵碎片
1000184;44400204;进行2次召唤兽训练
1000185;44400089;去副本“魔石实验室”击败“艾里安”
1000186;44400090;去副本“隐藏的洞穴”击败“内潘都司”
1000187;44400091;去副本“破坏之城”击败“盖米诺斯”
1000188;44400092;去副本“冰激凌庭院”击败“远古卡洛里”
1000190;44400113;去副本“神秘殿堂”击败“米内勒巴”
1000191;44400114;去副本“恶魔峡谷”击败“盖尔鲁斯”
1000192;44400115;去副本“神圣教堂”击败“布拉斯”
1000193;44400116;去副本“春植岛纪念馆”击败“植”
1000194;44400117;去副本“拉之城墙”击败“拉俄纳顿”
1000195;44400118;去副本“矮人飞艇”击败“弗林”
1000196;44400119;去副本“太阳宫殿”击败“达日曼”
1000197;44400120;去副本“巧克力花园”击败“突变姜饼人”
1000203;44400117;去副本“拉之城墙”击败“拉俄纳顿”
1000204;44400118;去副本“矮人飞艇”击败“弗林”
1000205;44400119;去副本“太阳宫殿”击败“达日曼”
1000206;44400120;去副本“巧克力花园”击败“突变姜饼人”
1000207;44400121;去副本“太阳神地下祭坛”击败最终BOSS
1000208;44400122;去副本“瀑布丛林”击败“特里尼雅”
1000213;44400121;去副本“太阳神地下祭坛”击败最终BOSS
1000214;44400122;去副本“瀑布丛林”击败“特里尼雅”
1000216;44400124;去副本“宝石丛林”击败“贝斯卡”
1000217;44400125;去副本“浮游岛”击败“比尔布拉特”
1000218;44400126;去副本“幻影毒雾沼泽”击败“魔王幻影”
1000219;44400127;去副本“混沌峡谷”击败“暴走的爱丽丝”
1000227;44400124;去副本“宝石丛林”击败“贝斯卡”
1000228;44400125;去副本“浮游岛”击败“比尔布拉特”
1000229;44400126;去副本“幻影毒雾沼泽”击败“魔王幻影”
1000230;44400127;去副本“混沌峡谷”击败“暴走的爱丽丝”
1000231;44400128;去副本“冰封雪域”击败“邪恶心魔”
1000232;44400129;去副本“燥热键盘”击败“新娘之手”
1000233;44400130;去副本“水下培养皿”击败“费尔德四世”
1000234;44400131;去副本“阿尔福那酒店”击败“教皇傀儡”
1000246;44400132;去副本“扭曲的世界树”击败“突然变异小飞龙”
1000239;44400203;收集2次梦灵碎片
1000240;44400204;进行2次召唤兽训练
1000241;44400205;完成1次超能者任务
1000242;44400128;去副本“冰封雪域”击败“邪恶心魔”
1000243;44400129;去副本“燥热键盘”击败“新娘之手”
1000244;44400130;去副本“水下培养皿”击败“费尔德四世”
1000245;44400131;去副本“阿尔福那酒店”击败“教皇傀儡”
1000247;44400133;去副本“超能者纪念馆”击败“兰达因”
1000248;44400134;去副本“奈落之屋”击败“麦波斯”
1000249;44400135;去副本“怪物树山山谷”击败“阿尔波仑”
1000257;44400133;去副本“超能者纪念馆”击败“兰达因”
1000258;44400134;去副本“奈落之屋”击败“麦波斯”
1000260;44400136;去副本“龙之峡谷”击败“基里耶”
1000261;44400137;去副本“神树拉菲尔”击败“莱奎伊”
1000262;44400138;去副本“神笔画卷”击败“神笔”
1000263;44400139;去副本“魔力防空洞”击败“诺克斯王子”
1000264;44400140;去副本“梦境奥涅伊鲁”击败“贝尔基米”
1000265;44400141;去副本“山海归墟”击败“烛阴”
1000266;44400142;去副本“魔法学院主楼”击败“科洛里斯”
1000272;44400205;完成1次超能者任务
1000273;44400206;收集3次梦灵碎片
1000274;44400207;进行3次召唤兽训练
1000275;44400136;去副本“龙之峡谷”击败“基里耶”
1000276;44400137;去副本“神树拉菲尔”击败“莱奎伊”
1000277;44400138;去副本“神笔画卷”击败“神笔”
1000278;44400139;去副本“魔力防空洞”击败“诺克斯王子”
1000279;44400140;去副本“梦境奥涅伊鲁”击败“贝尔基米”
1000280;44400141;去副本“山海归墟”击败“烛阴”
1000282;44400143;去副本“虚无之星”击败“蛇影”
1000283;44400144;去副本“忘却湖畔”击败“忘却忘川”
1000284;44400145;去副本“幻之摇篮”击败“莉莉丝”
1000285;44400146;去副本“玫瑰庭院”击败“亚斯莫德亚”
1000286;44400147;去副本“希列”击败“米凯尔拉”
1000287;44400148;去副本“盟约圣地”击败“巴巴托斯”
1000288;44400149;去副本“龙猫妹妹庭院”击败“巨型珠宝噗噗”
1000295;44400143;去副本“虚无之星”击败“蛇影”
1000296;44400144;去副本“忘却湖畔”击败“忘却忘川”
1000297;44400145;去副本“幻之摇篮”击败“莉莉丝”
1000298;44400146;去副本“玫瑰庭院”击败“亚斯莫德亚”
1000299;44400147;去副本“希列”击败“米凯尔拉”
1000300;44400148;去副本“盟约圣地”击败“巴巴托斯”
1000302;44400150;去副本“冰狱”击败“阿戈斯”
1000303;44400151;去副本“回声泉”击败“伊希欧”
1000304;44400152;去副本“阿科洛之棺”击败“迈诺斯”
1000305;44400153;去副本“圣字教堂”击败“恶魔贝利尔”
1000306;44400154;去副本“哈姆克公爵府”击败“新教大主教”
1000307;44400155;去副本“心脏的记忆”击败“帕西法厄”
1000312;44400205;完成1次超能者任务
1000313;44400206;收集3次梦灵碎片
1000314;44400207;进行3次召唤兽训练
1000315;44400208;使用5个冒险骰子
1000316;44400150;去副本“冰狱”击败“阿戈斯”
1000317;44400151;去副本“回声泉”击败“伊希欧”
1000318;44400152;去副本“阿科洛之棺”击败“迈诺斯”
1000319;44400153;去副本“圣字教堂”击败“恶魔贝利尔”
1000320;44400154;去副本“哈姆克公爵府”击败“新教大主教”
1000322;44400156;去副本“巴尼塔斯”击败“贝洛希”
1000323;44400157;去副本“炼狱阿兹雷尔”击败“泰伊姆斯暗影”
1000324;44400158;去副本“卡伊洛斯的时间”击败“卡伊洛斯符文”
1000325;44400159;去副本“克洛诺斯的时间”击败“克洛诺斯”
1000330;44400209;完成2次超能者任务
1000331;44400206;收集3次梦灵碎片
1000332;44400207;进行3次召唤兽训练
1000333;44400208;使用5个冒险骰子
1000334;44400156;去副本“巴尼塔斯”击败“贝洛希”
1000335;44400157;去副本“炼狱阿兹雷尔”击败“泰伊姆斯暗影”
1000336;44400158;去副本“卡伊洛斯的时间”击败“卡伊洛斯符文”
1000338;44400160;去副本“霍普占卜室”击败“花精灵崔斯特”
1000339;44400161;去副本“普洛菲司台”击败“文明化身”
1000340;44400162;去副本“深渊之镜”击败“思奇拉”
1000341;44400163;去副本“艾乌加蒙剧场”击败“格劳科斯”
1000342;44400164;去副本“泡泡战舰”击败“泡泡原型机”
1000348;44400160;去副本“霍普占卜室”击败“花精灵崔斯特”
1000349;44400161;去副本“普洛菲司台”击败“文明化身”
1000350;44400162;去副本“深渊之镜”击败“思奇拉”
1000351;44400163;去副本“艾乌加蒙剧场”击败“格劳科斯”
1000353;44400165;去副本“生命之恩泰莱凯”击败最终BOSS
1000354;44400166;去副本“精灵树桩”击败“艾·拉尔沙”
1000355;44400167;去副本“消失的星之歌”击败“莫林”
1000356;44400168;去副本“黄昏教堂”击败“莫尔迦娜”
1000357;44400169;去副本“黑月的考验”击败“安莎拉”
1000358;44400170;去副本“大地的考验”击败“基沙拉”
1000363;44400165;去副本“生命之恩泰莱凯”击败最终BOSS
1000364;44400166;去副本“精灵树桩”击败“艾·拉尔沙”
1000365;44400167;去副本“消失的星之歌”击败“莫林”
1000366;44400168;去副本“黄昏教堂”击败“莫尔迦娜”
1000367;44400169;去副本“黑月的考验”击败“安莎拉”
1000368;44400170;去副本“大地的考验”击败“基沙拉”
1000370;44400172;去副本“埃吉尔遗迹”击败“拉斐拉”
1000371;44400173;去副本“阿特拉斯庭院”击败“弥修斯”
